day,operation,hour,country,operator,operation_id,price
2024-01-04,Store CO,03,France,Facebook,52102,18
2024-01-04,Store CO,07,France,Uber,91482,95
2024-01-04,Store CO,05,France,Netflix,44798,54
2024-01-04,Store CO,04,France,Apple,55093,58
2024-01-04,Store WS,04,France,Microsoft,40980,33
2024-01-04,Store CO,01,France,Tesla,23073,77
2024-01-04,Store WS,05,France,Netflix,47545,74
2024-01-04,Store WS,06,France,Uber,90357,100
2024-01-04,Store CO,09,France,Tesla,22279,41
2024-01-04,Store CO,11,France,Uber,12866,1
2024-01-04,Store WS,01,France,Uber,56696,15
2024-01-04,Store WS,08,France,Microsoft,87948,55
2024-01-04,Store CO,11,France,Apple,99350,100
2024-01-04,Store CO,04,France,Apple,72460,28
2024-01-04,Store XX,10,France,Netflix,36013,12
2024-01-04,Store WS,06,France,Apple,54835,70
2024-01-04,Store XX,01,France,Twitter,67852,39
2024-01-04,Store XX,11,France,Microsoft,64083,35
2024-01-04,Store CO,01,France,Twitter,45435,8
2024-01-04,Store CO,07,France,Tesla,80041,11
2024-01-04,Store XX,04,France,Netflix,31819,33
2024-01-04,Store XX,02,France,Apple,43063,51
2024-01-04,Store WS,05,France,Twitter,20085,85
2024-01-04,Store XX,10,France,Netflix,99616,55
2024-01-04,Store WS,09,France,Apple,76398,81
2024-01-04,Store XX,09,France,Microsoft,35781,13
2024-01-04,Store CO,03,France,Facebook,17269,18
2024-01-04,Store WS,11,France,Twitter,80494,20
2024-01-04,Store WS,06,France,Microsoft,85518,56
2024-01-04,Store CO,07,France,Twitter,98589,36
2024-01-04,Store WS,03,France,Tesla,60761,55
2024-01-04,Store XX,01,France,Twitter,52304,4
2024-01-04,Store WS,11,France,Twitter,57370,11
2024-01-04,Store XX,04,France,Tesla,75090,51
2024-01-04,Store CO,01,France,Microsoft,15459,95
2024-01-04,Store WS,07,France,Facebook,99696,15
2024-01-04,Store XX,07,France,Uber,34712,13
2024-01-04,Store XX,03,France,Facebook,95689,58
2024-01-04,Store XX,05,France,Microsoft,95422,12
2024-01-04,Store CO,00,France,Tesla,18992,77
2024-01-04,Store XX,11,France,Microsoft,84372,11
2024-01-04,Store WS,02,France,Apple,24214,88
2024-01-04,Store WS,00,France,Netflix,89682,100
2024-01-04,Store WS,09,France,Twitter,95137,12
2024-01-04,Store WS,02,France,Apple,28338,38
2024-01-04,Store CO,00,France,Facebook,60623,78
2024-01-04,Store WS,02,France,Facebook,25034,30
2024-01-04,Store WS,09,France,Apple,40054,71
2024-01-04,Store CO,09,France,Facebook,74286,26
2024-01-04,Store WS,09,France,Netflix,70438,26
2024-01-04,Store XX,03,France,Apple,59603,79
2024-01-04,Store WS,01,France,Microsoft,39589,31
2024-01-04,Store WS,05,France,Twitter,64914,18
2024-01-04,Store WS,08,France,Twitter,20183,34
2024-01-04,Store XX,04,France,Uber,28295,20
2024-01-04,Store XX,05,France,Facebook,57960,63
2024-01-04,Store XX,11,France,Twitter,12381,53
2024-01-04,Store XX,07,France,Twitter,23647,1
2024-01-04,Store XX,08,France,Netflix,29885,56
2024-01-04,Store WS,09,France,Microsoft,56087,4
2024-01-04,Store XX,05,France,Uber,43246,40
2024-01-04,Store WS,11,France,Facebook,63412,52
2024-01-04,Store WS,00,France,Tesla,90929,44
2024-01-04,Store XX,03,France,Facebook,57581,64
2024-01-04,Store CO,07,France,Twitter,98189,26
2024-01-04,Store CO,01,France,Apple,53517,92
2024-01-04,Store XX,00,France,Twitter,33701,88
2024-01-04,Store CO,09,France,Tesla,37950,84
2024-01-04,Store WS,08,France,Tesla,71085,82
2024-01-04,Store WS,05,France,Facebook,39817,26
2024-01-04,Store XX,05,France,Netflix,13651,59
2024-01-04,Store XX,00,France,Microsoft,38265,45
2024-01-04,Store CO,10,France,Uber,99017,18
2024-01-04,Store WS,09,France,Uber,43912,97
2024-01-04,Store WS,01,France,Tesla,85769,74
2024-01-04,Store XX,03,France,Microsoft,43772,59
2024-01-04,Store WS,03,France,Microsoft,13461,47
2024-01-04,Store WS,05,France,Twitter,79518,52
2024-01-04,Store CO,08,France,Twitter,10724,15
2024-01-04,Store XX,11,France,Netflix,82547,99
2024-01-04,Store WS,01,France,Uber,19701,34
2024-01-04,Store WS,01,France,Uber,92486,34
2024-01-04,Store XX,09,France,Uber,48177,90
2024-01-04,Store CO,05,France,Apple,19220,23
2024-01-04,Store WS,03,France,Netflix,35608,92
2024-01-04,Store CO,01,France,Apple,93748,77
2024-01-04,Store CO,01,France,Apple,77709,101
2024-01-04,Store XX,07,France,Apple,93953,6
2024-01-04,Store CO,08,France,Tesla,17643,50
2024-01-04,Store XX,07,France,Netflix,80655,64
2024-01-04,Store CO,07,France,Netflix,93744,57
2024-01-04,Store WS,03,France,Netflix,23067,34
2024-01-04,Store WS,07,France,Twitter,19631,86
2024-01-04,Store XX,07,France,Tesla,40684,66
2024-01-04,Store XX,06,France,Tesla,97552,82
2024-01-04,Store WS,04,France,Tesla,37648,92
2024-01-04,Store WS,07,France,Twitter,46833,74
2024-01-04,Store CO,04,France,Twitter,70186,60
2024-01-04,Store XX,03,France,Tesla,10714,40
2024-01-04,Store CO,09,France,Tesla,46953,95
2024-01-04,Store XX,03,France,Facebook,21143,27
2024-01-04,Store XX,00,France,Twitter,97353,71
2024-01-04,Store XX,09,France,Facebook,26091,16
2024-01-04,Store CO,03,France,Facebook,85505,65
2024-01-04,Store XX,05,France,Uber,92988,56
2024-01-04,Store WS,07,France,Microsoft,99413,27
2024-01-04,Store CO,07,France,Twitter,29014,51
2024-01-04,Store CO,07,France,Netflix,71380,24
2024-01-04,Store CO,03,France,Apple,72068,52
2024-01-04,Store WS,11,France,Facebook,66356,48
2024-01-04,Store XX,00,France,Uber,57465,77
2024-01-04,Store CO,10,France,Tesla,68186,48
2024-01-04,Store CO,00,France,Uber,86082,34
2024-01-04,Store XX,09,France,Uber,53262,74
2024-01-04,Store CO,04,France,Microsoft,76344,82
2024-01-04,Store WS,02,France,Netflix,99049,80
2024-01-04,Store XX,09,France,Facebook,95015,43
2024-01-04,Store XX,03,France,Twitter,67610,35
2024-01-04,Store WS,03,France,Uber,63381,95
2024-01-04,Store WS,01,France,Facebook,76059,81
2024-01-04,Store CO,10,France,Apple,46829,86
2024-01-04,Store WS,10,France,Twitter,95144,74
2024-01-04,Store XX,04,France,Tesla,97587,26
2024-01-04,Store CO,03,France,Uber,95067,50
2024-01-04,Store XX,03,France,Microsoft,58847,52
2024-01-04,Store XX,00,France,Microsoft,48284,64
2024-01-04,Store WS,10,France,Facebook,37726,41
2024-01-04,Store WS,11,France,Microsoft,95880,101
2024-01-04,Store CO,01,France,Tesla,26986,44
2024-01-04,Store WS,01,France,Microsoft,28228,26
2024-01-04,Store WS,07,France,Facebook,25802,7
2024-01-04,Store WS,02,France,Netflix,67678,16
2024-01-04,Store WS,01,France,Netflix,79324,67
2024-01-04,Store WS,11,France,Apple,99882,65
2024-01-04,Store WS,08,France,Uber,17689,68
2024-01-04,Store XX,04,France,Apple,18072,17
2024-01-04,Store CO,08,France,Netflix,88646,19
2024-01-04,Store WS,07,France,Apple,86578,45
2024-01-04,Store WS,06,France,Apple,16426,85
2024-01-04,Store WS,01,France,Microsoft,53427,1
2024-01-04,Store WS,08,France,Twitter,59201,27
2024-01-04,Store XX,01,France,Facebook,60728,24
2024-01-04,Store CO,03,France,Netflix,22942,60
2024-01-04,Store CO,10,France,Tesla,71407,75
2024-01-04,Store CO,06,France,Netflix,49582,90
2024-01-04,Store XX,09,France,Apple,83628,7
2024-01-04,Store WS,07,France,Apple,37161,30
2024-01-04,Store XX,11,France,Apple,51266,26
2024-01-04,Store WS,02,France,Uber,32844,63
2024-01-04,Store CO,06,France,Facebook,36455,32
2024-01-04,Store WS,07,France,Apple,20530,66
2024-01-04,Store CO,08,France,Netflix,25591,28
2024-01-04,Store CO,01,France,Twitter,53713,68
2024-01-04,Store CO,07,France,Apple,84003,43
2024-01-04,Store XX,09,France,Netflix,33014,6
2024-01-04,Store XX,02,France,Uber,11958,36
2024-01-04,Store CO,09,France,Microsoft,38454,43
2024-01-04,Store CO,07,France,Apple,51260,42
2024-01-04,Store WS,11,France,Netflix,74720,71
2024-01-04,Store WS,07,France,Microsoft,81039,84
2024-01-04,Store WS,06,France,Twitter,32008,67
2024-01-04,Store CO,05,France,Microsoft,13402,95
2024-01-04,Store WS,01,France,Facebook,48767,82
2024-01-04,Store CO,06,France,Twitter,20414,77
2024-01-04,Store XX,10,France,Uber,14572,85
2024-01-04,Store CO,05,France,Netflix,42134,51
2024-01-04,Store XX,11,France,Uber,98341,42
2024-01-04,Store XX,03,France,Microsoft,60945,71
2024-01-04,Store XX,03,France,Microsoft,65822,68
2024-01-04,Store WS,11,France,Apple,40894,21
2024-01-04,Store CO,05,France,Facebook,21855,93
2024-01-04,Store CO,02,France,Netflix,83576,101
2024-01-04,Store WS,05,France,Apple,77498,53
2024-01-04,Store WS,09,France,Tesla,90593,101
2024-01-04,Store WS,06,France,Facebook,26311,27
2024-01-04,Store WS,05,France,Uber,46810,82
2024-01-04,Store XX,11,France,Netflix,45017,4
2024-01-04,Store WS,01,France,Uber,92799,25
2024-01-04,Store XX,11,France,Facebook,85871,43
2024-01-04,Store WS,05,France,Tesla,11534,76
2024-01-04,Store XX,01,France,Facebook,61463,19
2024-01-04,Store CO,03,France,Facebook,66916,93
2024-01-04,Store WS,06,France,Netflix,83803,96
2024-01-04,Store CO,03,France,Uber,39195,39
2024-01-04,Store WS,08,France,Netflix,67900,62
2024-01-04,Store WS,02,France,Uber,56609,56
2024-01-04,Store WS,09,France,Apple,23898,69
2024-01-04,Store WS,01,France,Uber,87760,15
2024-01-04,Store XX,01,France,Facebook,80321,56
2024-01-04,Store WS,01,France,Twitter,66526,24
2024-01-04,Store CO,11,France,Uber,12500,46
2024-01-04,Store WS,04,France,Facebook,66257,71
2024-01-04,Store CO,00,France,Facebook,35021,82
2024-01-04,Store CO,07,France,Apple,73809,50
2024-01-04,Store CO,04,France,Tesla,76235,47
2024-01-04,Store CO,05,France,Facebook,78214,101
2024-01-04,Store XX,09,France,Apple,10380,19
2024-01-04,Store XX,09,France,Twitter,66919,38
2024-01-04,Store XX,03,France,Twitter,29415,33
2024-01-04,Store CO,03,France,Microsoft,94005,27
2024-01-04,Store WS,10,France,Netflix,52833,91
2024-01-04,Store WS,01,France,Uber,53205,11
2024-01-04,Store CO,07,France,Apple,81559,32
2024-01-04,Store CO,03,France,Facebook,62039,84
2024-01-04,Store CO,03,France,Facebook,63268,61
2024-01-04,Store CO,02,France,Twitter,39042,64
2024-01-04,Store WS,07,France,Tesla,86628,36
2024-01-04,Store WS,08,France,Facebook,14595,48
2024-01-04,Store CO,06,France,Uber,35014,92
2024-01-04,Store XX,10,France,Tesla,28050,31
2024-01-04,Store XX,02,France,Uber,87482,45
2024-01-04,Store WS,07,France,Netflix,12274,101
2024-01-04,Store CO,08,France,Netflix,72891,41
2024-01-04,Store WS,05,France,Microsoft,81204,101
2024-01-04,Store XX,02,France,Apple,22089,91
2024-01-04,Store WS,01,France,Facebook,70956,65
2024-01-04,Store XX,11,France,Tesla,27888,59
2024-01-04,Store WS,00,France,Uber,92019,14
2024-01-04,Store WS,11,France,Microsoft,82065,72
2024-01-04,Store WS,00,France,Twitter,80937,24
2024-01-04,Store XX,00,France,Netflix,77540,22
2024-01-04,Store WS,03,France,Apple,37141,55
2024-01-04,Store WS,11,France,Facebook,52037,68
2024-01-04,Store XX,04,France,Facebook,30150,48
2024-01-04,Store WS,05,France,Facebook,69944,51
2024-01-04,Store XX,06,France,Netflix,14569,79
2024-01-04,Store CO,06,France,Facebook,87913,24
2024-01-04,Store XX,05,France,Tesla,21013,50
2024-01-04,Store XX,04,France,Tesla,69620,38
2024-01-04,Store CO,09,France,Uber,19045,78
2024-01-04,Store XX,06,France,Apple,33549,83
2024-01-04,Store XX,11,France,Facebook,91622,51
2024-01-04,Store XX,03,France,Microsoft,93792,25
2024-01-04,Store XX,03,France,Apple,19157,35
2024-01-04,Store WS,10,France,Tesla,37070,81
2024-01-04,Store CO,10,France,Uber,67385,92
2024-01-04,Store XX,00,France,Twitter,75212,74
2024-01-04,Store WS,09,France,Twitter,73946,30
2024-01-04,Store WS,03,France,Microsoft,93130,8
2024-01-04,Store CO,02,France,Netflix,59177,97
2024-01-04,Store WS,03,France,Twitter,41725,84
2024-01-04,Store XX,02,France,Twitter,72417,18
2024-01-04,Store XX,00,France,Tesla,47595,22
2024-01-04,Store XX,10,France,Microsoft,73076,79
2024-01-04,Store WS,08,France,Netflix,51591,70
2024-01-04,Store WS,04,France,Netflix,15592,94
2024-01-04,Store XX,01,France,Netflix,96158,5
2024-01-04,Store WS,10,France,Microsoft,68349,85
2024-01-04,Store CO,04,France,Netflix,89750,49
2024-01-04,Store XX,07,France,Microsoft,77454,83
2024-01-04,Store CO,08,France,Apple,97797,76
2024-01-04,Store XX,04,France,Uber,33739,95
2024-01-04,Store CO,09,France,Apple,23372,6
2024-01-04,Store XX,03,France,Apple,70953,89
2024-01-04,Store CO,11,France,Twitter,65865,35
2024-01-04,Store XX,04,France,Microsoft,37706,20
2024-01-04,Store CO,00,France,Facebook,30841,84
2024-01-04,Store WS,08,France,Apple,99879,34
2024-01-04,Store CO,05,France,Apple,66796,20
2024-01-04,Store CO,11,France,Microsoft,55725,39
2024-01-04,Store CO,11,France,Netflix,45354,72
2024-01-04,Store XX,08,France,Twitter,97474,31
2024-01-04,Store CO,08,France,Tesla,88326,69
2024-01-04,Store WS,00,France,Microsoft,89988,57
2024-01-04,Store WS,11,France,Facebook,24389,4
2024-01-04,Store WS,01,France,Microsoft,84419,5
2024-01-04,Store CO,07,France,Microsoft,19900,95
2024-01-04,Store WS,05,France,Tesla,55278,95
2024-01-04,Store CO,07,France,Apple,90965,48
2024-01-04,Store CO,05,France,Facebook,81305,99
2024-01-04,Store WS,05,France,Facebook,37319,13
2024-01-04,Store XX,09,France,Microsoft,26030,41
2024-01-04,Store CO,01,France,Apple,49674,18
2024-01-04,Store XX,07,France,Microsoft,77636,87
2024-01-04,Store CO,03,France,Twitter,25555,31
2024-01-04,Store XX,07,France,Facebook,56342,88
2024-01-04,Store WS,09,France,Microsoft,50384,18
2024-01-04,Store XX,05,France,Microsoft,79531,100
2024-01-04,Store XX,06,France,Facebook,21520,40
2024-01-04,Store WS,00,France,Facebook,94075,87
2024-01-04,Store WS,09,France,Microsoft,23163,22
2024-01-04,Store XX,07,France,Facebook,50370,72
2024-01-04,Store XX,04,France,Netflix,11383,99
2024-01-04,Store WS,10,France,Apple,39726,1
2024-01-04,Store XX,01,France,Twitter,27744,40
2024-01-04,Store XX,11,France,Uber,64496,10
2024-01-04,Store CO,04,France,Apple,12394,25
2024-01-04,Store WS,07,France,Uber,61612,50
2024-01-04,Store WS,07,France,Uber,97004,81
2024-01-04,Store CO,08,France,Tesla,44142,11
2024-01-04,Store XX,06,France,Microsoft,79349,90
2024-01-04,Store WS,00,France,Tesla,22181,84
2024-01-04,Store CO,05,France,Tesla,38899,32
2024-01-04,Store WS,04,France,Uber,94910,60
2024-01-04,Store CO,08,France,Twitter,97744,30
2024-01-04,Store XX,07,France,Microsoft,80648,7
2024-01-04,Store WS,09,France,Uber,37061,69
2024-01-04,Store WS,07,France,Tesla,39228,46
2024-01-04,Store CO,02,France,Facebook,47559,73
2024-01-04,Store CO,08,France,Microsoft,16893,18
2024-01-04,Store XX,04,France,Apple,28151,32
2024-01-04,Store WS,08,France,Twitter,77537,25
2024-01-04,Store WS,08,France,Facebook,58085,86
2024-01-04,Store WS,09,France,Facebook,83040,11
2024-01-04,Store XX,07,France,Microsoft,91998,17
2024-01-04,Store CO,01,France,Tesla,83483,47
2024-01-04,Store XX,07,France,Tesla,55189,19
2024-01-04,Store CO,01,France,Uber,68070,47
2024-01-04,Store CO,10,France,Facebook,90996,36
2024-01-04,Store XX,03,France,Apple,52593,60
2024-01-04,Store WS,03,France,Facebook,51036,40
2024-01-04,Store WS,01,France,Tesla,45239,64
2024-01-04,Store WS,06,France,Apple,31804,72
2024-01-04,Store WS,02,France,Microsoft,30136,37
2024-01-04,Store XX,03,France,Tesla,17435,21
2024-01-04,Store WS,01,France,Apple,21653,88
2024-01-04,Store XX,00,France,Facebook,61236,8
2024-01-04,Store XX,09,France,Twitter,33724,93
2024-01-04,Store CO,09,France,Twitter,62887,37
2024-01-04,Store WS,08,France,Twitter,11936,53
2024-01-04,Store CO,01,France,Twitter,95221,54
2024-01-04,Store XX,04,France,Uber,15145,86
2024-01-04,Store CO,11,France,Microsoft,78724,83
2024-01-04,Store WS,07,France,Uber,62465,61
2024-01-04,Store CO,01,France,Microsoft,43065,35
2024-01-04,Store WS,03,France,Netflix,84374,91
2024-01-04,Store XX,04,France,Facebook,96999,39
2024-01-04,Store XX,03,France,Uber,70818,56
2024-01-04,Store CO,11,France,Tesla,12178,50
2024-01-04,Store XX,05,France,Facebook,50449,84
2024-01-04,Store CO,05,France,Twitter,70184,39
2024-01-04,Store WS,10,France,Uber,42161,15
2024-01-04,Store WS,00,France,Apple,74828,88
2024-01-04,Store XX,11,France,Uber,70124,27
2024-01-04,Store XX,11,France,Facebook,62855,16
2024-01-04,Store CO,00,France,Tesla,16621,80
2024-01-04,Store CO,02,France,Tesla,65162,97
2024-01-04,Store XX,05,France,Apple,11803,30
2024-01-04,Store CO,10,France,Microsoft,87517,81
2024-01-04,Store CO,11,France,Apple,18554,11
2024-01-04,Store CO,02,France,Uber,54486,8
2024-01-04,Store WS,09,France,Microsoft,52825,70
2024-01-04,Store XX,05,France,Microsoft,75851,92
2024-01-04,Store XX,10,France,Netflix,76349,51
2024-01-04,Store XX,04,France,Microsoft,73029,51
2024-01-04,Store WS,01,France,Twitter,62355,37
2024-01-04,Store CO,02,France,Netflix,20856,27
2024-01-04,Store CO,03,France,Tesla,76720,97
2024-01-04,Store WS,06,France,Apple,42732,78
2024-01-04,Store XX,06,France,Microsoft,28416,100
2024-01-04,Store WS,01,France,Uber,85741,45
2024-01-04,Store WS,06,France,Tesla,24570,65
2024-01-04,Store XX,00,France,Tesla,46347,42
2024-01-04,Store CO,07,France,Netflix,98231,10
2024-01-04,Store WS,01,France,Uber,94874,17
2024-01-04,Store XX,03,France,Microsoft,11744,31
2024-01-04,Store WS,00,France,Netflix,10026,27
2024-01-04,Store XX,11,France,Microsoft,64964,36
2024-01-04,Store XX,06,France,Apple,22283,98
2024-01-04,Store XX,03,France,Netflix,90910,101
2024-01-04,Store XX,08,France,Microsoft,55667,73
2024-01-04,Store CO,02,France,Apple,60068,43
2024-01-04,Store XX,03,France,Microsoft,41956,93
2024-01-04,Store CO,00,France,Twitter,60082,46
2024-01-04,Store WS,03,France,Netflix,38479,45
2024-01-04,Store CO,07,France,Twitter,15481,29
2024-01-04,Store XX,09,France,Apple,96176,39
2024-01-04,Store WS,11,France,Microsoft,96017,62
2024-01-04,Store WS,04,France,Twitter,84019,60
2024-01-04,Store XX,04,France,Netflix,18689,4
2024-01-04,Store CO,08,France,Microsoft,80986,32
2024-01-04,Store WS,11,France,Netflix,22035,33
2024-01-04,Store CO,00,France,Twitter,32061,80
2024-01-04,Store WS,01,France,Uber,18790,91
2024-01-04,Store CO,11,France,Apple,90143,97
2024-01-04,Store CO,06,France,Apple,89041,86
2024-01-04,Store XX,01,France,Uber,50028,91
2024-01-04,Store XX,08,France,Microsoft,94430,66
2024-01-04,Store WS,02,France,Netflix,40876,74
2024-01-04,Store WS,09,France,Tesla,94044,55
2024-01-04,Store XX,02,France,Tesla,65060,39
2024-01-04,Store CO,02,France,Tesla,21461,35
2024-01-04,Store CO,01,France,Uber,26187,18
2024-01-04,Store XX,11,France,Twitter,78615,20
2024-01-04,Store XX,03,France,Netflix,25233,83
2024-01-04,Store WS,03,France,Apple,46352,29
2024-01-04,Store XX,08,France,Facebook,68104,22
2024-01-04,Store XX,11,France,Uber,56366,10
2024-01-04,Store XX,11,France,Uber,51326,3
2024-01-04,Store XX,03,France,Tesla,92605,23
2024-01-04,Store WS,05,France,Netflix,16999,13
2024-01-04,Store XX,01,France,Uber,44023,43
2024-01-04,Store WS,03,France,Microsoft,55577,85
2024-01-04,Store XX,08,France,Uber,40607,51
2024-01-04,Store CO,10,France,Microsoft,43813,98
2024-01-04,Store XX,02,France,Tesla,35954,26
2024-01-04,Store WS,01,France,Apple,23652,68
2024-01-04,Store XX,05,France,Twitter,43695,56
2024-01-04,Store XX,10,France,Twitter,77568,92
2024-01-04,Store XX,11,France,Tesla,53216,78
2024-01-04,Store XX,01,France,Microsoft,59091,78
2024-01-04,Store WS,02,France,Twitter,99881,85
